货号(SKU),款式编码,商品名称,颜色,尺码,售价(¥),库存,图片链接
NS2614-L,NS2614,扭捏niunie 复古格子全羊毛格子外套七分袖短裤宽松衬衫上衣女,七分袖格子毛呢外套,L,799,6,"https://img.alicdn.com/bao/uploaded/i1/2217590670593/O1CN014SZXqr1GFdzaJafbf~crop,0,57,1440,1440~_!!2217590670593.jpg"
NS2614-M,NS2614,扭捏niunie 复古格子全羊毛格子外套七分袖短裤宽松衬衫上衣女,七分袖格子毛呢外套,M,799,1,"https://img.alicdn.com/bao/uploaded/i1/2217590670593/O1CN014SZXqr1GFdzaJafbf~crop,0,57,1440,1440~_!!2217590670593.jpg"
NS2614-S,NS2614,扭捏niunie 复古格子全羊毛格子外套七分袖短裤宽松衬衫上衣女,七分袖格子毛呢外套,S,799,0,"https://img.alicdn.com/bao/uploaded/i1/2217590670593/O1CN014SZXqr1GFdzaJafbf~crop,0,57,1440,1440~_!!2217590670593.jpg"
NS2613-M,NS2613,扭捏niunie 黄色小碎花两面穿半身裙女打褶中长款甜美A字伞裙夏季,黄色小碎花两面穿半身裙,M,439,4,"https://img.alicdn.com/bao/uploaded/i3/2217590670593/O1CN013VOeEz1GFdzbUPeAA~crop,0,240,1440,1440~_!!2217590670593.jpg"
NS2613-S,NS2613,扭捏niunie 黄色小碎花两面穿半身裙女打褶中长款甜美A字伞裙夏季,黄色小碎花两面穿半身裙,S,439,2,"https://img.alicdn.com/bao/uploaded/i3/2217590670593/O1CN013VOeEz1GFdzbUPeAA~crop,0,240,1440,1440~_!!2217590670593.jpg"
NS2611-M,NS2611+NS2612,扭捏niunie甜美清新花边口袋樱桃提花拼接圆领短袖衬衫花苞裤套装,樱桃提花有口袋衬衫,M,369,23,"https://img.alicdn.com/bao/uploaded/i2/2217590670593/O1CN01xgSwHZ1GFdzaMGyRv~crop,0,240,1440,1440~_!!2217590670593.jpg"
NS2612-M,NS2611+NS2612,扭捏niunie甜美清新花边口袋樱桃提花拼接圆领短袖衬衫花苞裤套装,樱桃花苞裤,M,329,2,"https://img.alicdn.com/bao/uploaded/i2/2217590670593/O1CN01CHDMQM1GFdzZvCfJO~crop,0,240,1440,1440~_!!2217590670593.jpg"
NS2611-S,NS2611+NS2612,扭捏niunie甜美清新花边口袋樱桃提花拼接圆领短袖衬衫花苞裤套装,樱桃提花有口袋衬衫,S,369,11,"https://img.alicdn.com/bao/uploaded/i2/2217590670593/O1CN01xgSwHZ1GFdzaMGyRv~crop,0,240,1440,1440~_!!2217590670593.jpg"
NS2612-S,NS2611+NS2612,扭捏niunie甜美清新花边口袋樱桃提花拼接圆领短袖衬衫花苞裤套装,樱桃花苞裤,S,329,0,"https://img.alicdn.com/bao/uploaded/i2/2217590670593/O1CN01CHDMQM1GFdzZvCfJO~crop,0,240,1440,1440~_!!2217590670593.jpg"
NS2610-M,NS2610,扭捏niunie  亚麻复古彩色格子荷叶边短裙抽褶拼接修身半身裙女,彩色亚麻格子短裙,M,529,10,"https://img.alicdn.com/bao/uploaded/i3/2217590670593/O1CN01o0MRbu1GFdza9nw57~crop,0,240,1440,1440~_!!2217590670593.jpg"
